"","Mean","SD","2.5%","97.5%"
"CWD(-), No Harvest",-6.04,0.34,-6.73,-5.41
"CWD(+), No Harvest",1.8,0.5,0.78,2.76
"Bow Harvest",0.97,0.37,0.25,1.69
"Gun Harvest",1.06,0.43,0.18,1.89
"Sex",0.08,0.34,-0.59,0.75
