"","Mean","SD","2.5%","97.5%"
"CWD(-), No harvest",-5.91,0.3,-6.53,-5.36
"CWD(+), No harvest",1.8,0.5,0.79,2.74
"Bow Harvest",0.89,0.37,0.17,1.61
"Gun Harvest",1.07,0.43,0.19,1.89
