"","Mean","SD","2.5%","97.5%"
"CWD(-), No harvest",-5.78,0.27,-6.35,-5.29
"CWD(+), No harvest",1.61,0.41,0.79,2.38
"Bow Harvest",0.88,0.37,0.16,1.61
"Gun Harvest",1.05,0.44,0.17,1.88
