"Period","CWD Status","Mean","SD","0.025","0.975"
"Pre-Harvest","Negative",0.906,0.026,0.849,0.95
"","Positive",0.551,0.133,0.283,0.794
"Bow/Archery","Negative",0.851,0.031,0.786,0.908
"","Positive",0.385,0.14,0.138,0.669
"Gun","Negative",0.8,0.037,0.725,0.869
"","Positive",0.276,0.135,0.063,0.572
"Holiday Gun","Negative",0.763,0.042,0.677,0.842
"","Positive",0.215,0.127,0.034,0.508
